"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Preston Williams","MIA","24.5","314.7","2.9","0.0","0.0","0.0","0.6","47.9"
"Deonte Harris","NO","27.9","315.8","1.7","7.3","47.8","0.1","0.2","46.6"
"Mohamed Sanu","SF","33.0","342.6","2.0","1.3","5.7","0.0","0.5","45.7"
"Tyron Johnson","LAC","19.9","311.3","2.1","2.3","13.0","0.0","0.1","45.2"
"Bryan Edwards","LV","24.0","337.4","1.9","0.0","0.0","0.0","0.1","44.9"
"Adam Humphries","WAS","30.1","328.2","1.6","0.0","0.0","0.0","0.1","42.1"
"Richie James Jr.","SF","23.8","365.4","1.5","0.8","0.0","0.0","2.1","41.2"
"Byron Pringle","KC","22.7","291.1","2.0","0.0","0.0","0.0","0.2","40.7"
"Dyami Brown","WAS","22.1","307.9","1.7","0.0","0.0","0.0","0.2","40.6"
"Quintez Cephus","DET","23.8","315.8","1.5","0.0","0.0","0.0","0.2","40.2"
"Travis Fulgham","PHI","23.0","297.1","1.6","0.0","0.0","0.0","0.1","39.3"
"Damiere Byrd","CHI","27.0","307.5","1.6","0.3","2.0","0.0","0.6","39.2"
"Scotty Miller","TB","17.1","245.0","1.8","1.4","7.7","0.1","0.1","36.4"
"Tutu Atwell","LAR","21.5","280.2","1.4","0.0","0.0","0.0","0.2","35.9"
"Isaiah McKenzie","BUF","18.9","200.8","1.9","5.7","28.4","0.2","0.1","35.5"
"Isaiah Coulter","HOU","18.3","275.6","1.5","1.0","4.0","0.0","1.0","35.0"
"Auden Tate","CIN","20.6","260.3","1.4","0.0","0.0","0.0","0.1","34.3"
"Amari Rodgers","GB","18.2","223.5","1.3","2.0","12.2","0.1","0.2","31.6"
"Greg Ward","PHI","22.0","219.6","1.2","0.0","0.0","0.0","0.2","28.8"
"N'Keal Harry","NE","15.4","187.1","1.3","0.9","5.6","0.0","0.1","27.3"
"Devin Duvernay","BAL","16.7","183.8","1.2","1.7","11.7","0.0","0.1","26.7"
"Dez Fitzpatrick","TEN","15.4","200.1","1.0","0.0","0.0","0.0","0.1","25.8"
"Phillip Dorsett II","JAC","14.3","173.3","1.1","0.0","0.0","0.0","0.1","23.6"
"Collin Johnson","JAC","15.6","189.8","0.7","0.0","0.0","0.0","0.1","23.2"
"David Moore","CAR","11.6","160.5","1.0","1.2","7.7","0.0","0.1","22.7"
"Willie Snead IV","LV","14.5","167.9","0.9","0.0","0.0","0.0","0.1","21.9"
"Freddie Swain","SEA","12.4","155.8","1.0","0.0","0.0","0.0","0.1","21.6"
"Dede Westbrook","MIN","12.0","128.1","1.0","0.7","3.6","0.0","0.1","19.1"
"Lynn Bowden Jr.","MIA","11.6","106.7","0.3","10.2","49.2","0.2","0.1","18.3"
"KeeSean Johnson","ARI","10.7","122.2","1.0","0.0","0.0","0.0","0.0","18.2"
"Donovan Peoples-Jones","CLE","10.9","139.8","0.7","0.0","0.0","0.0","0.0","18.0"
"Javon Wims","CHI","11.4","143.2","0.6","0.0","0.0","0.0","0.1","18.0"
"Andy Isabella","ARI","11.0","136.6","0.7","0.0","0.0","0.0","0.0","17.9"
"Christian Blake","ATL","12.5","146.4","0.5","0.0","0.0","0.0","0.1","17.5"
"Ray-Ray McCloud","PIT","11.4","114.2","0.7","3.0","18.8","0.1","0.2","17.4"
"Anthony Schwartz","CLE","10.1","124.0","0.8","0.0","0.0","0.0","0.1","17.3"
"Miles Boykin","BAL","8.8","118.9","0.7","0.8","4.9","0.0","0.1","16.4"
"Chris Moore","HOU","10.5","120.8","0.7","0.0","0.0","0.0","0.0","16.3"
"Jalen Hurd","SF","7.1","91.1","0.6","4.7","28.8","0.2","0.1","16.2"
"Marquise Goodwin","CHI","10.3","123.3","0.6","0.0","0.0","0.0","0.0","15.9"
"Tyler Johnson","TB","8.1","102.9","0.8","0.0","0.0","0.0","0.0","14.7"
"Jamal Agnew","JAC","6.8","76.2","0.4","6.2","33.8","0.2","0.1","14.7"
"Jeff Smith","NYJ","9.6","107.1","0.6","0.0","0.0","0.0","0.0","14.4"
"Cedrick Wilson","DAL","8.4","110.1","0.6","0.0","0.0","0.0","0.1","14.3"
"Chris Hogan","NO","7.5","99.9","0.7","0.0","0.0","0.0","0.1","14.0"
"Cameron Batson","TEN","7.2","79.9","0.6","2.5","14.9","0.1","0.1","13.4"
"Chad Beebe","MIN","7.9","96.7","0.6","0.0","0.0","0.0","0.1","13.4"
"Andre Roberts","HOU","7.8","101.5","0.5","0.0","0.0","0.0","0.0","13.1"
"Cam Sims","WAS","7.6","101.7","0.5","0.0","0.0","0.0","0.0","13.0"
"Mike Thomas","CIN","7.5","93.9","0.6","0.0","0.0","0.0","0.1","12.7"
"Noah Brown","DAL","7.6","92.9","0.6","0.0","0.0","0.0","0.1","12.5"
"Frank Darby","ATL","7.3","92.5","0.5","0.0","0.0","0.0","0.0","11.9"
"Alex Erickson","HOU","8.0","92.9","0.4","0.0","0.0","0.0","0.1","11.8"
"Kalif Raymond","DET","7.5","100.8","0.3","0.0","0.0","0.0","0.1","11.7"
"Penny Hart","SEA","6.7","78.3","0.6","0.7","3.3","0.0","0.0","11.5"
"Kawaan Baker","NO","6.2","82.8","0.5","0.0","0.0","0.0","0.0","11.0"
"DaeSean Hamilton","DEN","7.3","75.2","0.5","0.0","0.0","0.0","0.0","10.4"
"Steven Sims Jr.","WAS","6.0","75.2","0.4","0.0","0.0","0.0","0.0","10.0"
"Nick Westbrook-Ikhine","TEN","5.3","70.4","0.4","0.0","0.0","0.0","0.0","9.6"
"Antonio Gandy-Golden","WAS","4.9","64.5","0.4","1.1","6.5","0.0","0.0","9.5"
"John Ross","NYG","4.3","56.7","0.5","0.7","3.9","0.0","0.1","9.2"
