,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
80,DeeJay Dallas,SEA,RB,45.6,181.6,1.5,14.0,103.4,0.7,0.6,0.0,0.0,0,0.0,0.0
81,Trayveon Williams,CIN,RB,48.2,206.4,1.3,14.1,113.1,0.5,1.5,0.0,0.0,0,0.0,0.0
82,Boston Scott,PHI,RB,37.6,158.5,1.3,18.0,142.1,0.5,0.6,0.0,0.0,0,0.0,0.0
83,Javian Hawkins,ATL,RB,58.5,240.9,1.8,4.6,35.4,0.1,0.2,0.0,0.0,0,0.0,0.0
84,Samaje Perine,CIN,RB,51.1,215.9,1.5,9.0,61.6,0.2,0.1,0.0,0.0,0,0.0,0.0
85,Mike Boone,DEN,RB,48.0,228.4,1.8,6.4,43.3,0.1,0.6,0.0,0.0,0,0.0,0.0
86,Peyton Barber,WAS,RB,59.2,210.3,2.2,5.0,32.9,0.1,0.6,0.0,0.0,0,0.0,0.0
87,Benny Snell Jr.,PIT,RB,60.7,225.2,1.8,6.4,43.3,0.1,0.6,0.0,0.0,0,0.0,0.0
88,Matt Breida,BUF,RB,43.6,189.1,1.0,9.6,76.9,0.4,1.1,0.0,0.0,0,0.0,0.0
89,Carlos Hyde,JAC,RB,52.5,213.1,1.4,6.3,36.7,0.0,0.6,0.0,0.0,0,0.0,0.0
90,Brandon Bolden,NE,RB,19.4,98.7,2.3,4.9,49.9,0.6,0.0,0.0,0.0,0,0.0,0.0
91,Johnny Stanton,CLE,RB,20.0,100.0,1.0,9.0,70.0,1.0,0.0,0.0,0.0,0,0.0,0.0
92,Jalen Richard,LV,RB,20.2,88.5,0.3,18.7,146.5,0.6,0.2,0.0,0.0,0,0.0,0.0
93,Jermar Jefferson,DET,RB,33.8,138.2,1.0,10.6,78.5,0.1,0.2,0.0,0.0,0,0.0,0.0
94,Raymond Calais,LAR,RB,29.1,122.6,1.1,4.6,35.4,0.2,0.1,0.0,0.0,0,0.0,0.0
95,Elijah Mitchell,SF,RB,26.9,124.7,0.8,5.8,52.5,0.2,0.1,0.0,0.0,0,0.0,0.0
96,La'Mical Perine,NYJ,RB,32.4,136.6,1.0,4.3,31.4,0.2,0.2,0.0,0.0,0,0.0,0.0
97,Jaylen Samuels,PIT,RB,26.2,110.1,0.6,7.9,52.2,0.3,0.1,0.0,0.0,0,0.0,0.0
98,Anthony McFarland Jr.,PIT,RB,30.1,115.3,0.5,5.7,45.2,0.1,0.6,0.0,0.0,0,0.0,0.0
99,Jerick McKinnon,KC,RB,21.4,94.7,0.4,6.9,49.6,0.2,0.1,0.0,0.0,0,0.0,0.0
100,Kerryon Johnson,PHI,RB,27.8,109.4,0.7,3.7,29.2,0.1,0.3,0.0,0.0,0,0.0,0.0
101,Chris Evans,CIN,RB,24.7,97.9,0.4,4.5,34.0,0.2,0.1,0.0,0.0,0,0.0,0.0
102,Eno Benjamin,ARI,RB,22.8,97.5,0.6,3.4,27.1,0.1,0.1,0.0,0.0,0,0.0,0.0
103,Justice Hill,BAL,RB,19.1,87.8,0.6,4.3,30.9,0.1,0.1,0.0,0.0,0,0.0,0.0
104,Travis Homer,SEA,RB,17.8,75.2,0.4,6.0,43.8,0.2,0.2,0.0,0.0,0,0.0,0.0
105,Royce Freeman,DEN,RB,20.5,87.6,0.6,3.8,24.4,0.1,0.0,0.0,0.0,0,0.0,0.0
106,Kylin Hill,GB,RB,25.1,101.6,0.3,3.6,27.4,0.1,0.1,0.0,0.0,0,0.0,0.0
